證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
3645,達邁,634801,484,30304349,47.10,48.20,47.10,48.20,+,1.2,48.15,5,48.20,5,18.47,
3653,健策,3959168,"2,153",509729340,126.00,131.50,124.00,128.00,X,0.0,128.00,122,129.00,9,24.90,
3661,世芯-KY,1212183,911,122430390,100.50,102.00,99.70,101.00,+,1.0,101.00,19,101.50,5,24.88,
3665,貿聯-KY,578344,475,137787872,239.00,240.00,236.50,239.00,+,2.5,238.50,5,239.00,12,18.91,
3669,圓展,8000,5,132250,16.60,16.60,16.50,16.60,+,0.05,16.50,5,16.60,1,207.50,
3673,TPK-KY,8185008,"4,947",451974145,54.80,55.80,54.40,55.60,+,1.4,55.60,26,55.70,72,126.36,
3679,新至陞,14200,14,635830,44.80,44.80,44.75,44.80,,0.0,44.80,1,44.90,13,8.85,
3682,亞太電,2585356,987,18403801,7.15,7.17,7.10,7.10,-,0.02,7.10,238,7.11,1,0.00,
3686,達能,156013,29,245211,1.57,1.63,1.56,1.60,+,0.05,1.59,5,1.60,13,0.00,
3694,海華,385300,140,8196700,21.00,21.80,21.00,21.10,+,0.1,21.10,2,21.30,10,0.00,
3698,隆達,9296109,"1,240",142842638,16.05,16.05,15.30,15.30,-,0.5,15.25,141,15.30,415,39.23,
3701,大眾控,2689,11,37606,14.05,14.05,14.05,14.05,-,0.15,14.05,4,14.20,3,8.22,
3702,大聯大,2407246,"1,367",99341764,41.50,41.50,41.00,41.20,-,0.3,41.20,272,41.30,50,10.05,
3703,欣陸,5669680,"1,850",98308374,17.55,17.60,17.20,17.40,-,0.1,17.40,102,17.45,75,6.67,
3704,合勤控,9552700,"4,446",237611739,24.40,25.20,24.30,25.15,+,0.65,25.10,65,25.15,29,0.00,
3705,永信,160193,117,6591563,41.10,41.20,41.10,41.20,,0.0,41.15,3,41.20,18,15.67,
3706,神達,866780,450,27961390,32.35,32.40,32.20,32.35,,0.0,32.30,5,32.35,48,12.49,
3708,上緯投控,1235627,995,93587549,76.30,76.90,75.00,76.00,-,0.6,76.00,1,76.20,6,6.23,
3711,日月光投控,8870311,"3,636",619739491,69.20,70.60,68.80,69.90,+,0.2,69.90,89,70.00,63,11.77,
3712,永崴投控,468771,288,11440352,24.70,24.70,24.20,24.40,-,0.15,24.35,34,24.40,8,0.00,
4104,佳醫,247146,209,12377751,49.80,50.30,49.80,50.20,+,0.45,50.20,14,50.30,1,13.49,
4106,雃博,83100,56,2163929,26.10,26.15,26.00,26.05,-,0.2,26.05,2,26.10,2,21.53,
4108,懷特,421848,238,8440978,20.20,20.25,19.90,20.05,-,0.25,20.00,3,20.05,1,0.00,
4119,旭富,1278854,"1,046",122482708,95.20,97.10,94.30,96.00,+,0.5,96.00,11,96.10,1,13.87,
4133,亞諾法,18013,19,504961,28.30,28.30,27.95,28.10,-,0.1,27.95,8,28.15,2,47.63,
4137,麗豐-KY,276325,263,67954925,244.50,248.00,243.00,246.00,+,0.5,246.00,6,247.00,2,15.20,
4141,龍燈-KY,6060,7,105321,17.35,17.40,17.35,17.40,,0.0,17.40,1,17.45,2,290.00,
4142,國光生,3438827,"1,302",81822348,23.00,24.20,23.00,24.10,+,1.05,24.05,8,24.10,49,0.00,
4144,康聯-KY,83230,61,2401411,28.85,28.95,28.75,28.85,-,0.1,28.85,4,28.95,11,19.63,
4148,全宇生技-KY,50000,37,2667400,53.90,53.90,53.10,53.60,+,0.3,53.60,1,53.80,3,14.57,
4155,訊映,104060,60,3119137,30.10,30.10,29.90,30.00,,0.0,29.95,2,30.05,6,14.93,
4164,承業醫,2886029,"1,817",140074960,47.40,49.25,47.35,49.00,+,2.0,48.95,8,49.00,3,18.63,
4190,佐登-KY,239151,161,24214204,102.00,102.50,100.50,101.50,-,0.5,101.50,16,102.00,1,12.78,
4306,炎洲,2476976,761,30302848,12.35,12.35,12.15,12.35,-,0.1,12.25,5,12.35,123,30.12,
4414,如興,6974335,"2,337",84578230,12.20,12.35,11.95,12.20,+,0.25,12.20,115,12.25,168,0.00,
4426,利勤,539424,476,31793481,57.80,59.70,57.80,59.40,+,1.1,59.40,5,59.50,1,27.00,
4438,廣越,289412,240,47594568,167.00,167.00,163.00,163.50,-,3.0,163.50,2,164.00,10,20.09,
4526,東台,53287,50,961377,18.10,18.10,17.95,18.05,,0.0,18.05,3,18.10,38,12.89,
4532,瑞智,188450,123,4673200,24.85,24.85,24.75,24.80,-,0.05,24.80,21,24.85,25,11.53,
